jersey_number,nationality_name,name,birth,high,weight
2,Argentina,Juan Foyth,12.01.1998,179,69
3,Argentina,Nicolás Tagliafico,31.08.1992,172,65
4,Argentina,Gonzalo Montiel,01.01.1997,175,70
6,Argentina,Germán Pezzella,27.06.1991,187,82
13,Argentina,Romero C.,27.04.1998,185,79
19,Argentina,Nicolas Otamendi,12.02.1988,183,78
25,Argentina,Lisandro Martínez,18.01.1998,178,77
26,Argentina,Nahuel Molina,02.12.1997,175,70
18,Argentina,Guido Rodríguez,12.04.1994,185,78
5,Argentina,Leandro Paredes,29.06.1994,180,75
7,Argentina,Rodrigo De Paul,24.05.1994,178,78
8,Argentina,Marcos Acuña,28.10.1991,172,66
11,Argentina,Angel Di Maria,14.02.1988,180,75
14,Argentina,Exequiel Palacios,05.10.1998,177,70
15,Argentina,Ángel Correa,09.03.1995,171,70
20,Argentina,Mac Allister A.,24.12.1998,176,70
24,Argentina,Enzo Fernandez,17.01.2001,18,75
16,Argentina,Almada,26.04.2001,171,0
9,Argentina,Julián Álvarez,31.01.2000,170,71
10,Argentina,Lionel Messi,24.06.1987,170,72
17,Argentina,Alejandro Gomez,15.02.1988,167,68
21,Argentina,Paulo Dybala,15.11.1993,177,73
22,Argentina,Lautaro Martínez,22.09.1997,174,72
0,Portugal,Rui Patricio,15.02.1988,190,84
0,Portugal,José Sá,17.01.1993,192,84
0,Portugal,Costa D.,19.09.1999,186,80
0,Portugal,Pepe,26.02.1983,188,81
0,Portugal,Raphael Guerreiro,22.12.1993,170,71
0,Portugal,Joao Cancelo,27.05.1994,182,80
0,Portugal,William Carvalho,07.04.1992,187,79
0,Portugal,Diogo Dalot,18.03.1999,184,75
0,Portugal,Nuno Mendes,19.06.2002,183,62
4,Portugal,Rúben Dias,14.05.1997,187,83
24,Portugal,Antonio Silva,30.10.2003,187,0
0,Portugal,Vitinha F.,13.02.2000,172,65
0,Portugal,Bruno Fernandes,08.09.1994,179,74
0,Portugal,Bernardo Silva,10.08.1994,173,70
0,Portugal,Ruben Neves,13.03.1997,180,80
0,Portugal,Danilo Pereira,09.09.1991,188,80
0,Portugal,Otávio,09.02.1995,172,65
0,Portugal,João Palhinha,09.07.1995,190,83
0,Portugal,Matheus Nunes,27.08.1998,183,78
17,Portugal,Joao Mario,19.01.1993,179,72
23,Portugal,Félix J.,10.11.1999,181,70
0,Portugal,Cristiano Ronaldo,05.02.1985,185,75
0,Portugal,Horta R.,15.09.1994,173,71
0,Portugal,Rafael Leão,10.06.1999,188,81
9,Portugal,André Silva,06.11.1995,184,78
9,Portugal,Ramos G.,20.06.2001,185,77
1,Wales,Wayne Hennessey,24.01.1987,198,90
12,Wales,Danny Ward,22.06.1993,191,88
21,Wales,Adam Davies,17.07.1992,185,75
2,Wales,Chris Gunter,21.07.1989,180,71
3,Wales,Neco Williams,13.04.2001,176,70
4,Wales,Ben Davies,24.04.1993,180,70
6,Wales,Joseph Rodon,22.10.1997,193,0
14,Wales,Connor Roberts,23.09.1995,175,71
17,Wales,Lockyer,03.12.1994,184,72
22,Wales,Chris Mepham,05.11.1997,191,85
24,Wales,Benjamin Cabango,30.05.2000,188,81
7,Wales,Joe Allen,14.03.1990,168,65
8,Wales,Matthew Smith,22.11.1999,175,70
9,Wales,Brennan Johnson,23.05.2001,181,71
10,Wales,Aaron Ramsey,26.12.1990,178,76
15,Wales,Ethan Ampadu,14.09.2000,183,78
16,Wales,Joseff Morrell,03.01.1997,186,77
18,Wales,Jonathan Williams,09.10.1993,165,65
20,Wales,Daniel James,10.11.1997,171,76
23,Wales,Dylan Levitt,17.11.2000,180,74
25,Wales,Rubin Colwill,27.04.2002,183,75
8,Wales,Harry Wilson,22.03.1997,173,70
11,Wales,Gareth Bale,16.07.1989,185,82
13,Wales,Kieffer Moore,08.08.1992,196,83
19,Wales,Harris M.,29.12.1998,182,75
22,Wales,Sorba Thomas,22.08.1999,180,75
1,Germany,Manuel Neuer,27.03.1986,193,92
12,Germany,Kevin Trapp,08.07.1990,189,88
22,Germany,ter Stegen,30.04.1992,187,85
2,Germany,Antonio Rüdiger,03.03.1993,190,85
5,Germany,Thilo Kehrer,21.09.1996,186,76
15,Germany,Niklas Süle,03.09.1995,195,97
20,Germany,Christian Günter,28.02.1993,185,88
23,Germany,Nico Schlotterbeck,01.12.1999,191,86
25,Germany,Armel Bella-Kotchap,11.12.2001,190,87
16,Germany,Lukas Klostermann,03.06.1996,187,88
3,Germany,David Raum,22.04.1998,180,75
4,Germany,Matthias Ginter,19.01.1994,187,72
6,Germany,Joshua Kimmich,08.02.1995,176,73
7,Germany,Kai Havertz,11.06.1999,189,82
8,Germany,Leon Goretzka,06.02.1995,189,76
10,Germany,Serge Gnabry,14.07.1995,175,75
11,Germany,Mario Götze,03.06.1992,176,75
13,Germany,Thomas Muller,13.09.1989,186,75
17,Germany,Julian Brandt,02.05.1996,185,83
18,Germany,Jonas Hofmann,14.07.1992,176,67
19,Germany,Leroy Sane,11.01.1996,183,80
21,Germany,Ilkay Gundogan,24.10.1990,178,80
14,Germany,Jamal Musiala,26.02.2003,164,54
9,Germany,Niclas Füllkrug,09.02.1993,189,83
24,Germany,Karim Adeyemi,18.01.2002,177,67
26,Germany,Youssoufa Moukoko,20.11.2004,172,75
1,Switzerland,Yann Sommer,17.12.1988,183,77
12,Switzerland,Jonas Omlin,10.01.1994,189,80
21,Switzerland,Gregor Kobel,06.12.1997,196,88
21,Switzerland,Philipp Köhn,02.04.1998,191,75
0,Switzerland,Fabian Rieder,16.02.2002,173,64
3,Switzerland,Silvan Widmer,05.03.1993,183,79
4,Switzerland,Nico Elvedi,30.09.1996,188,83
5,Switzerland,Manuel Akanji,19.07.1995,187,91
13,Switzerland,Ricardo Rodriguez,25.08.1992,180,72
17,Switzerland,Eray Cömert,04.02.1998,183,80
22,Switzerland,Fabian Schär,20.12.1991,188,84
0,Switzerland,Michel Aebischer,06.01.1997,182,73
0,Switzerland,Fabian Frei,08.01.1989,183,80
0,Switzerland,Renato Steffen,03.11.1991,170,68
6,Switzerland,Denis Zakaria,20.11.1996,191,85
8,Switzerland,Remo Freuler,15.04.1992,180,80
9,Switzerland,Noah Okafor,24.05.2000,185,85
10,Switzerland,Granit Xhaka,27.09.1992,186,80
15,Switzerland,Djibril Sow,06.02.1997,184,77
19,Switzerland,Ardon Jasari,30.07.2002,181,81
20,Switzerland,Edimilson Fernandes,15.04.1996,187,77
23,Switzerland,Xherdan Shaqiri,10.10.1991,169,72
7,Switzerland,Breel Embolo,14.02.1997,184,71
9,Switzerland,Haris Seferovic,22.02.1992,185,83
11,Switzerland,Ruben Vargas,05.08.1998,174,67
16,Switzerland,Christian Fassnacht,11.11.1993,185,74
1,Senegal,Seny Dieng,23.11.1994,193,90
16,Senegal,Edouard Mendy,01.03.1992,197,86
23,Senegal,Gomis A.,05.09.1993,196,90
2,Senegal,Formose Mendy,02.01.2001,191,80
3,Senegal,Kalidou Koulibaly,20.06.1991,195,89
4,Senegal,Cissé Pape,14.09.1995,192,83
8,Senegal,Cheikhou Kouyate,21.12.1989,189,80
10,Senegal,Moussa N'Diaye,18.06.2002,181,0
12,Senegal,Fodé Ballo-Touré,03.01.1997,177,61
14,Germany,Ismail Jakobs,17.08.1999,183,75
21,Senegal,Youssouf Sabaly,05.03.1993,174,65
22,Senegal,Abdou Diallo,04.05.1996,186,79
26,Senegal,Gueye P.A.,24.01.1999,189,79
5,Senegal,Gueye I.,26.09.1989,174,64
6,Senegal,Nampalys Mendy,23.06.1992,167,73
11,Senegal,Pathé Ciss,16.03.1994,183,71
17,Senegal,Pape Sarr,14.09.2002,181,74
18,Senegal,Ismaila Sarr,25.02.1998,185,76
25,Senegal,Loum Ndiaye,30.12.1996,188,80
7,Senegal,Nicolas Jackson,20.06.2001,186,78
13,France,Iliman Ndiaye,06.03.2000,180,70
9,Senegal,Boulaye Dia,16.11.1996,180,75
15,Senegal,Krépin Diatta,25.02.1999,173,68
19,Senegal,Famara Diédhiou,15.12.1992,190,80
20,Senegal,Dieng A.,01.09.2000,177,77
24,Senegal,Moustapha Name,05.05.1995,188,70
1,Serbia,Marko Dmitrović,24.01.1992,194,88
1,Serbia,Marko Ilić,03.02.1998,191,81
12,Serbia,Predrag Rajković,31.10.1995,191,84
23,Serbia,Vanja Milinkovic-Savic,20.02.1997,202,92
2,Serbia,Strahinja Pavlović,24.05.2001,186,81
3,Serbia,Filip Mladenovic,15.08.1991,180,65
4,Serbia,Nikola Milenković,12.10.1997,195,92
4,Serbia,Srđan Babić,22.04.1996,195,86
5,Serbia,Strahinja Erakovic,22.01.2001,184,77
13,Serbia,Stefan Mitrovic,22.05.1990,189,84
15,Serbia,Milos Veljkovic,26.09.1995,188,85
14,Serbia,Uroš Račić,17.03.1998,193,81
6,Serbia,Nemanja Maksimovic,26.01.1995,189,78
8,Serbia,Nemanja Gudelj,16.11.1991,187,81
16,Serbia,Marko Grujic,13.04.1996,191,86
16,Serbia,Sasa Lukic,13.08.1996,183,77
20,Serbia,Sergej Milinković-Savić,27.02.1995,191,76
21,Serbia,Filip Djuricic,30.01.1992,181,75
22,Serbia,Darko Lazović,15.09.1990,181,66
7,Serbia,Nemanja Radonjić,15.02.1996,178,74
9,Serbia,Aleksandar Mitrovic,16.09.1994,189,90
10,Serbia,Dusan Tadic,20.11.1988,181,76
14,Serbia,Andrija Živković,11.07.1996,170,66
17,Serbia,Filip Kostic,01.11.1992,184,82
18,Serbia,Luka Jovic,23.12.1997,182,85
18,Serbia,Dušan Vlahović,28.01.2000,190,80
0,Uruguay,Sebastian Sosa,19.08.1986,0,0
1,Uruguay,Fernando Muslera,16.06.1986,190,90
23,Uruguay,Sergio Rochet,23.03.1993,190,82
0,Uruguay,Guillermo Varela,24.03.1993,173,70
0,Uruguay,Mathias Olivera,31.10.1997,184,78
0,Uruguay,Rodriguez J. L.,14.03.1997,0,0
2,Uruguay,Gimenez Jose,20.01.1995,185,80
3,Uruguay,Diego Godin,16.02.1986,187,80
4,Uruguay,Ronald Araujo,07.03.1999,191,91
17,Uruguay,Matías Viña,09.11.1997,176,70
19,Uruguay,Sebastian Coates,07.10.1990,196,92
22,Uruguay,Martín Cáceres,07.04.1987,182,78
0,Uruguay,Manuel Ugarte,11.04.2001,182,75
5,Uruguay,Matias Vecino,24.08.1991,187,80
6,Uruguay,Rodrigo Bentancur,25.06.1997,185,73
7,Uruguay,Nicolás De La Cruz,01.06.1997,167,65
8,Uruguay,Facundo Pellistri,20.12.2001,175,68
10,Uruguay,Giorgian De Arrascaeta,01.06.1994,172,67
14,Uruguay,Torreira,11.02.1996,166,65
21,Uruguay,Edinson Cavani,14.02.1987,184,71
0,Uruguay,Agustin Canobbio,01.10.1998,175,72
15,Uruguay,Federico Valverde,22.07.1998,182,78
0,Uruguay,Núñez D.,24.06.1999,187,78
9,Uruguay,Luis Suarez,24.01.1987,182,86
18,Uruguay,Maxi Gómez,14.08.1996,186,91
25,Uruguay,Facundo Torres,13.04.2000,177,71
1,Australia,Ryan M.,08.04.1992,184,81
12,Australia,Andrew Redmayne,13.01.1989,194,0
18,Australia,Daniel Vukovic,27.03.1985,187,95
2,Australia,Miloš Degenek,28.04.1994,187,82
3,Australia,Nathaniel Atkinson,13.06.1999,181,72
4,Australia,Kye Rowles,24.06.1998,183,0
5,Australia,Fran Karačić,12.05.1996,185,0
8,Australia,Bailey Wright,28.07.1992,184,82
16,Australia,Aziz Behich,16.12.1990,172,70
19,Australia,Harry Souttar,22.10.1998,200,79
20,Australia,Thomas Deng,20.03.1997,182,0
24,Australia,Joel King,30.10.2000,179,78
26,Australia,Keanu Baccus,07.06.1998,178,0
10,Australia,Ajdin Hrustic,05.07.1996,183,78
13,Australia,Mooy,15.09.1990,179,75
14,Australia,Riley McGree,02.11.1998,178,74
17,Australia,Cameron Devlin,07.06.1998,170,68
22,Australia,Jackson Irvine,07.03.1993,189,70
23,Australia,Craig Goodwin,16.12.1991,180,0
6,Australia,Martin Boyle,25.04.1993,178,64
6,Australia,Marco Tilio,23.08.2001,0,0
7,Australia,Mathew Leckie,04.02.1991,181,82
9,Australia,Jamie Maclaren,29.07.1993,177,73
11,Australia,Mabil,15.09.1995,179,65
15,Australia,Mitchell Duke,18.01.1991,186,0
21,Australia,Garang Kuol,15.09.2004,175,0
25,Scotland,Jason Cummings,01.08.1995,178,68
1,Brazil,Alisson,02.10.1992,193,91
12,Brazil,Weverton,13.12.1987,187,91
23,Brazil,Ederson,17.08.1993,188,86
0,Brazil,Daniel Alves,06.05.1983,173,70
0,Brazil,Telles,15.12.1992,181,69
0,Brazil,Bremer,18.03.1997,188,80
2,Brazil,Danilo,15.07.1991,184,74
3,Brazil,Thiago Silva,22.09.1984,184,80
4,Brazil,Marquinhos,14.05.1994,183,75
6,Brazil,Alex Sandro,26.01.1991,180,78
14,Brazil,Éder Militão,18.01.1998,186,78
15,Brazil,Fabinho,23.10.1993,188,78
0,Brazil,Bruno Guimarães,16.11.1997,182,74
5,Brazil,Casimiro,23.02.1992,185,84
11,Brazil,Ribeiro E.,10.04.1989,179,70
17,Brazil,Lucas Paqueta,27.08.1997,180,72
0,Brazil,Raphinha,14.12.1996,176,58
8,Brazil,Fred,05.03.1993,169,62
0,Brazil,Gabriel Martinelli,18.06.2001,177,69
0,Brazil,Rodrygo,09.01.2001,174,64
0,Brazil,Pedro Ab.,20.06.1997,185,78
0,Brazil,Antony M.,24.02.2000,172,0
7,Brazil,Richarlison,10.05.1997,179,71
9,Brazil,Gabriel Jesus,03.04.1997,177,73
10,Brazil,Neymar,05.02.1992,175,68
18,Brazil,Vinícius Júnior,12.07.2000,176,73
0,Cameroon,Simon Ngapandouetnbu,12.04.2003,187,73
16,Cameroon,Devis Epassy,02.02.1993,187,82
24,Cameroon,André Onana,02.04.1996,190,82
0,Cameroon,Nicolas Nkoulou,27.03.1990,184,77
0,France,Christopher Wooh,18.09.2001,185,78
2,Cameroon,Enzo Ebosse,11.03.1999,185,75
17,Cameroon,Olivier Mbaizo,15.08.1997,178,70
18,Cameroon,Martin Hongla,16.03.1998,181,77
19,Cameroon,Collins Fai,13.08.1992,167,60
21,Cameroon,Jean-Charles Castelletto,26.01.1995,185,77
25,Cameroon,Nouhou Tolo,23.06.1997,178,79
0,Cameroon,Gael Ondoua,04.11.1995,185,80
0,France,Kevin-Georges Nkoudou,13.02.1995,172,68
0,France,Olivier Ntcham,09.02.1996,180,80
0,Cameroon,Mbekeli Jerome,30.09.1998,0,0
8,Cameroon,Zambo Anguissa André-Frank,16.11.1995,184,78
11,Cameroon,Christian Bassogog,18.10.1995,178,70
14,Cameroon,Gouet,14.12.1997,185,76
15,Cameroon,Pierre Kunde,26.07.1995,180,79
0,France,Jean-Pierre Nsamé,01.05.1993,188,85
0,France,Bryan Mbeumo,07.08.1999,171,70
0,Cameroon,Souaibou Marou,03.12.2000,0,0
3,Cameroon,Ngamaleu,09.07.1994,181,70
10,Cameroon,Vincent Aboubakar,22.01.1992,184,79
12,Cameroon,Toko Ekambi,14.09.1992,185,70
13,Cameroon,Choupo-Moting,23.03.1989,191,90
1,Poland,Wojciech Szczesny,18.04.1990,195,84
12,Poland,Łukasz Skorupski,05.05.1991,187,84
22,Poland,Kamil Grabara,08.01.1999,190,75
3,Poland,Artur Jedrzejczyk,04.11.1987,189,78
4,Poland,Mateusz Wieteska,11.02.1997,187,77
5,Poland,Bednarek,12.04.1996,189,77
6,Poland,Krystian Bielik,04.01.1998,189,78
10,Poland,Grzegorz Krychowiak,29.01.1990,186,83
14,Poland,Jakub Kiwior,15.02.2000,182,70
15,Poland,Kamil Glik,03.02.1988,190,80
18,Poland,Bartosz Bereszyński,12.07.1992,183,77
25,Poland,Robert Gumny,04.06.1998,175,70
2,Poland,Matty Cash,07.08.1997,185,80
8,Poland,Damian Szymanski,16.06.1995,181,70
